CreditScore,Age,EstimatedSalary,Balance,NumOfProducts,Tenure,Exited,Geography_Germany,Geography_Spain,Gender_Male,HasCrCard_Yes,IsActiveMember_Yes,Bal_v_Sal
619,42,101348.88,0.0,1,2,1,False,False,False,True,True,0.0
608,41,112542.58,83807.86,1,1,0,False,True,False,True,True,0.74
502,42,113931.57,159660.8,3,8,1,False,False,False,False,False,1.4
699,39,93826.63,0.0,2,1,0,False,False,False,False,False,0.0
850,43,79084.1,125510.82,1,2,0,False,True,False,True,True,1.59
645,44,149756.71,113755.78,2,8,1,False,True,True,False,False,0.76
822,50,10062.8,0.0,2,7,0,False,False,True,True,True,0.0
376,29,119346.88,115046.74,4,4,1,True,False,False,False,False,0.96
501,44,74940.5,142051.07,2,4,0,False,False,True,True,True,1.9
684,27,71725.73,134603.88,1,2,0,False,False,True,True,True,1.88
528,31,80181.12,102016.72,2,6,0,False,False,True,False,False,1.27
497,24,76390.01,0.0,2,3,0,False,True,True,False,False,0.0
476,34,26260.98,0.0,2,10,0,False,False,False,False,False,0.0
549,25,190857.79,0.0,2,5,0,False,False,False,False,False,0.0
635,35,65951.65,0.0,2,7,0,False,True,False,True,True,0.0
616,45,64327.26,143129.41,2,3,0,True,False,True,True,True,2.23
653,58,5097.67,132602.88,1,1,1,True,False,True,False,False,26.01
549,24,14406.41,0.0,2,9,0,False,True,False,True,True,0.0
587,45,158684.81,0.0,1,6,0,False,True,True,False,False,0.0
726,24,54724.03,0.0,2,6,0,False,False,False,True,True,0.0
732,41,170886.17,0.0,2,8,0,False,False,True,True,True,0.0
636,32,138555.46,0.0,2,8,0,False,True,False,False,False,0.0
510,38,118913.53,0.0,1,4,1,False,True,False,False,False,0.0
669,46,8487.75,0.0,2,3,0,False,False,True,True,True,0.0
846,38,187616.16,0.0,1,5,0,False,False,False,True,True,0.0
577,25,124508.29,0.0,2,3,0,False,False,True,True,True,0.0
756,36,170041.95,136815.64,1,2,0,True,False,True,True,True,0.8
571,44,38433.35,0.0,2,9,0,False,False,True,False,False,0.0
574,37,100272.17,141349.43,1,3,0,True,False,False,True,True,1.41
411,29,53483.21,59697.17,2,0,0,False,False,True,True,True,1.12
591,39,140469.38,0.0,3,3,1,False,True,False,False,False,0.0
533,36,156731.91,85311.7,1,7,0,False,False,True,True,True,0.54
553,41,81898.81,110112.54,2,9,0,True,False,True,False,False,1.34
520,42,34410.55,0.0,2,6,0,False,True,False,True,True,0.0
722,29,142033.07,0.0,2,9,0,False,True,False,True,True,0.0
475,45,27822.99,134264.04,1,0,1,False,False,False,False,False,4.83
490,31,114066.77,145260.23,1,3,0,False,True,True,True,True,1.27
804,33,98453.45,76548.6,1,7,0,False,True,True,True,True,0.78
850,36,40812.9,0.0,1,7,0,False,False,True,True,True,0.0
582,41,178074.04,70349.48,2,6,0,True,False,True,True,True,0.4
472,40,70154.22,0.0,1,4,0,False,True,True,False,False,0.0
465,51,181297.65,122522.32,1,8,1,False,False,False,False,False,0.68
556,61,94153.83,117419.35,1,2,0,False,False,False,True,True,1.25
834,49,194365.76,131394.56,1,2,1,False,False,False,False,False,0.68
660,61,158338.39,155931.11,1,5,0,False,True,False,True,True,0.98
776,32,126517.46,109421.13,2,4,0,True,False,False,True,True,0.86
829,27,119708.21,112045.67,1,9,1,True,False,False,True,True,0.94
637,39,117622.8,137843.8,1,9,1,True,False,False,True,True,1.17
550,38,90878.13,103391.38,1,2,0,True,False,True,True,True,1.14
776,37,194099.12,103769.22,2,2,0,True,False,False,False,False,0.53
698,44,198059.16,116363.37,2,10,0,True,False,True,False,False,0.59
585,36,86424.57,146050.97,2,5,0,True,False,True,False,False,1.69
788,33,116978.19,0.0,2,5,0,False,False,False,False,False,0.0
655,41,164040.94,125561.97,1,8,1,True,False,True,False,False,0.77
601,42,40014.76,98495.72,1,1,1,True,False,True,False,False,2.46
619,43,113410.49,125211.92,1,1,0,False,False,True,True,True,1.1
656,45,87107.57,127864.4,1,5,0,False,False,True,False,False,1.47
725,19,45613.75,75888.2,1,0,0,True,False,True,False,False,1.66
511,66,1643.11,0.0,1,4,1,False,True,False,False,False,0.0
614,51,46775.28,40685.92,1,4,0,False,False,True,True,True,0.87
742,35,84509.57,136857.0,1,5,0,True,False,True,False,False,1.62
687,27,126494.82,152328.88,2,9,0,True,False,False,False,False,1.2
555,33,178798.13,56084.69,2,1,0,False,True,True,False,False,0.31
684,56,99398.36,78707.16,1,8,0,False,True,True,True,True,0.79
603,26,92840.67,109166.37,1,4,0,True,False,True,True,True,1.18
751,36,27758.36,169831.46,2,6,0,True,False,False,True,True,6.12
581,34,110431.51,101633.04,1,1,0,True,False,False,False,False,0.92
735,43,196673.28,123180.01,2,10,0,True,False,True,True,True,0.63
661,35,113656.85,150725.53,2,5,0,True,False,False,True,True,1.33
